DEBUG: count 1000, next_vid 17
DEBUG: count 2000, next_vid 16
DEBUG: count 3000, next_vid 19
DEBUG: count 4000, next_vid 17
DEBUG: count 5000, next_vid 19
DEBUG: count 6000, next_vid 16
DEBUG: count 7000, next_vid 16
DEBUG: count 8000, next_vid 20
DEBUG: count 9000, next_vid 18
DEBUG: count 10000, next_vid 13
DEBUG: count 11000, next_vid 15
DEBUG: count 12000, next_vid 20
DEBUG: count 13000, next_vid 15
DEBUG: count 14000, next_vid 19
DEBUG: count 15000, next_vid 16
DEBUG: count 16000, next_vid 18
DEBUG: count 17000, next_vid 16
DEBUG: count 18000, next_vid 15
DEBUG: count 19000, next_vid 15
DEBUG: count 20000, next_vid 19
DEBUG: count 21000, next_vid 20
DEBUG: count 22000, next_vid 21
DEBUG: count 23000, next_vid 17
DEBUG: count 24000, next_vid 14
DEBUG: count 25000, next_vid 18
DEBUG: count 26000, next_vid 19
DEBUG: count 27000, next_vid 16
DEBUG: count 28000, next_vid 18
DEBUG: count 29000, next_vid 16
DEBUG: count 30000, next_vid 22
DEBUG: count 31000, next_vid 19
DEBUG: count 32000, next_vid 16
DEBUG: count 33000, next_vid 17
DEBUG: count 34000, next_vid 18
DEBUG: count 35000, next_vid 19
DEBUG: count 36000, next_vid 21
DEBUG: count 37000, next_vid 18
DEBUG: count 38000, next_vid 19
DEBUG: count 39000, next_vid 16
DEBUG: count 40000, next_vid 22
DEBUG: count 41000, next_vid 18
DEBUG: count 42000, next_vid 18
DEBUG: count 43000, next_vid 17
DEBUG: count 44000, next_vid 20
DEBUG: count 45000, next_vid 22
DEBUG: count 46000, next_vid 19
DEBUG: count 47000, next_vid 21
DEBUG: count 48000, next_vid 20
DEBUG: count 49000, next_vid 19
DEBUG: count 50000, next_vid 18
DEBUG: count 51000, next_vid 20
DEBUG: count 52000, next_vid 17
DEBUG: count 53000, next_vid 19
DEBUG: count 54000, next_vid 25
DEBUG: count 55000, next_vid 16
DEBUG: count 56000, next_vid 18
DEBUG: count 57000, next_vid 21
